main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author,template_cluster,title_cluster,labeling_cluster_id
All Beauty,(6 Pack) NYC Waterproof Eyeliner Pencil - Black,4.0,7,[],[],,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31PMw0AtGlL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31PMw0AtGlL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",,[],"{""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Unit Count"": ""6.0 Count"", ""Age Range (Description)"": ""Adult"", ""Package Type"": ""Tube"", ""UPC"": ""764210640349""}",B00MSKZ2MQ,,,,0,0,0
All Beauty,1+1 Mascara Applicator Guide Tool Mascara Shield Eyeliner Guide Template Eye Makeup Tool,2.9,13,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/51ZnFfrhnYL._SL1001_.jpg',
       'https://m.media-amazon.com/images/I/61p5xgSf7BL._SL1001_.jpg',
       'https://m.media-amazon.com/images/I/51J3mWIN0KL._SL1001_.jpg',
       'https://m.media-amazon.com/images/I/513gyzcT-3L._SL1001_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31wRUqgIUdL.jpg',
       'https://m.media-amazon.com/images/I/518JpYWuqqL.jpg',
       'https://m.media-amazon.com/images/I/318Liq6epfL.jpg',
       'https://m.media-amazon.com/images/I/410Yw9NCRxL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31wRUqgIUdL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/518JpYWuqqL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/318Liq6epfL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/410Yw9NCRxL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",luzen,[],"{""Color"": ""Blue"", ""Brand"": ""luzen"", ""Unit Count"": ""1.00 Count"", ""Package Information"": ""Tube"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.6 x 4.9 x 0.3 inches; 0.81 Ounces""}",B01N9J7HQR,,,,0,0,0
All Beauty,"12pcs Zhalya Full Makeup Brushes Set with Large Size Foundation Brush, Blending Face Powder, Blusher, Concealer, Eyeliner, Eyeshadow Brush, Comes with PU Leather Bag for Storage.",5.0,2,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/61HisaWpy1L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61g2rrlDGkL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/71ZJwAqEQ5L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71ng+FO9j9L._SL1044_.jpg',
       'https://m.media-amazon.com/images/I/71QexfA7CNL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/51XurmyypCL._SL1000_.jpg',
       None,
       'https://m.media-amazon.com/images/I/81yersDvM5L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81uLdTZSX5L._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41ns8xWcvGL.jpg',
       'https://m.media-amazon.com/images/I/518tJakE9VL.jpg',
       'https://m.media-amazon.com/images/I/31p1kWCs8BL.jpg',
       'https://m.media-amazon.com/images/I/51CkQUs1wuL.jpg',
       'https://m.media-amazon.com/images/I/31BYUp-BiLL.jpg',
       'https://m.media-amazon.com/images/I/4116FcMOZ1L.jpg',
       'https://m.media-amazon.com/images/I/31apk+WXq9L.jpg',
       'https://m.media-amazon.com/images/I/51KqSCEN59L.jpg',
       'https://m.media-amazon.com/images/I/41xkZ5gcUGL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41ns8xWcvGL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/518tJakE9VL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31p1kWCs8BL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51CkQUs1wuL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31BYUp-BiLL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/4116FcMOZ1L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31apk+WXq9L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51KqSCEN59L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41xkZ5gcUGL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07',
       'PT08'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Zhalya,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.5 x 6.6 x 1 inches; 8.01 Ounces"", ""UPC"": ""657664992938""}",B07DMGD6TX,,,,0,0,0
All Beauty,"ANNATATO BEAUTY Eyebrow Pen, Upgrade Eyebrow Pencil with a Micro-Fork Tip Creates Natural Eyebrow Makeup (Chestnut)",3.6,12,[],"['Our specially designed four tip pen that easily create hair-looking strokes, save your time and get perfect eyebrow Get precise, defined Natural looking brows with our micro eyebrow pen Key Features: No smudging &No fading Easy to apply remove Long Lasting Waterproof How to Use: Apply starting at the arch of the brow going towards the tail Continue to apply from the front of the brow towards the arch using short upward strokes, filling in sparse areas Note: 1Keep the cap tight and store it upright to prevent dry 2When in use, upside down and let the tip receive liquid 3For external use only Avoid contact with eyes Please store it under shade environment and keep out of reach of children BUY WITH CONFIDENCE We offer 30 day money back for any reason you are not happy']",,"{'hi_res': array(['https://m.media-amazon.com/images/I/61FC7-YTB1L._SL1500_.jpg',
       None,
       'https://m.media-amazon.com/images/I/61IV-pvuSUL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71whiZ3-m1L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71sIcetu3fL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71+-BXGEHEL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71-GJ4FHauL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31hTovFTu-L.jpg',
       'https://m.media-amazon.com/images/I/51aPueFBtvL.jpg',
       'https://m.media-amazon.com/images/I/41KbupyTTTL.jpg',
       'https://m.media-amazon.com/images/I/41riYc4lflL.jpg',
       'https://m.media-amazon.com/images/I/41grbJdIqBL.jpg',
       'https://m.media-amazon.com/images/I/41qpxfGdu9L.jpg',
       'https://m.media-amazon.com/images/I/41F0vnvtdtL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31hTovFTu-L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51aPueFBtvL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41KbupyTTTL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41riYc4lflL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41grbJdIqBL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41qpxfGdu9L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41F0vnvtdtL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",ANNATATO BEAUTY,[],"{""Brand"": ""ANNATATO BEAUTY"", ""Item Form"": ""Pencil"", ""Finish Type"": ""Natural"", ""Product Benefits"": ""Smudge Proof,Long Lasting"", ""Skin Type"": ""Dry"", ""Package Dimensions"": ""6.89 x 3.39 x 0.43 inches; 0.32 Ounces"", ""UPC"": ""731905824452""}",B09VFK14KR,,,,0,0,0
All Beauty,"Avon True Color Glimmersticks Eye Liner Set 4 Pcs. Blackest Black, Starry Night Blue, Smoky Diamond, and Sugar Plum",4.7,11,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/813ln5EZLFL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51JUbxNvRDL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51JUbxNvRDL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",AVON,[],"{""Brand"": ""AVON"", ""Finish Type"": ""Shimmery"", ""Number of Items"": ""4"", ""Unit Count"": ""4.00 Count"", ""Coverage"": ""Light"", ""Is Discontinued By Manufacturer"": ""No"", ""UPC"": ""888761277080""}",B07578KDX6,,,,0,0,0
All Beauty,"BallHull 300 Pcs Mascara Wands Applicator Disposable Eyelash Makeup Brush for Eyelash Extension Eyebrow and Brow Definer, Black",4.5,15,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/71awE0isESL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71z-RlsgBLL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61m3t6F-EvL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/615MLLIZPfL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61ebWO3FxKL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61FvpSRWSFL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61iXIXo6YtL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51GkqfvaQwL.jpg',
       'https://m.media-amazon.com/images/I/51AGFiVWLhL.jpg',
       'https://m.media-amazon.com/images/I/41Gtlixyv1L.jpg',
       'https://m.media-amazon.com/images/I/41Ar3qBhWLL.jpg',
       'https://m.media-amazon.com/images/I/41gyFmtLyhL.jpg',
       'https://m.media-amazon.com/images/I/41QwPwmzxVL.jpg',
       'https://m.media-amazon.com/images/I/41GglIAH3JL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51GkqfvaQwL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51AGFiVWLhL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41Gtlixyv1L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41Ar3qBhWLL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41gyFmtLyhL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41QwPwmzxVL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41GglIAH3JL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",BallHull,[],"{""Brand"": ""BallHull"", ""Recommended Uses For Product"": ""Eyelashes, Eyebrow, For Mascara"", ""Color"": ""Black"", ""Material"": ""Plastic"", ""Skin Type"": ""All"", ""Item Form"": ""Wand"", ""Number of Pieces"": ""300"", ""Age Range (Description)"": ""Adult"", ""Ferrule Material"": ""Aluminum"", ""Skin Tone"": ""All"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.59 x 4.25 x 1.81 inches; 9.77 Ounces"", ""UPC"": ""604270106617""}",B07CHG9K87,,,,0,0,0
All Beauty,"Biange Professional 10 Pieces Makeup Brush Set, 5 Essential Shapes, Soft Synthetic Fiber, Foundation Blending Blush Face Powder Eyeshadow Cosmetics Beauty Brush, Makeup Brush Kit Tools (Gold Black)",4.5,11,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/610VamLucxL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41UzmB7Dm+L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41UzmB7Dm+L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Biange,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""6.49 x 4.53 x 0.52 inches; 3.52 Ounces""}",B07GKSN7P2,,,,0,0,0
All Beauty,Blue Eyes Lashes Mascara Applicator / Application Guiding Tool With Eyelashes Comb And Pink Silicone Blackheads Facial Pores Cleaner / Face Skin Cleanser By VAGA,3.2,8,"['To view the full range of products please click on the brand name ""VAGA"" under the title of this listing.'
 ""Pores' cleaning tool from this set is easy to use and is gentle for the sensitive facial skin, it is also made of easy to clean silicone, which stays hygienic preventing infections and leaving your skin clean and flawless""
 'With the mascara application tool you will easily achieve voluminous, seductive eyelashes without having to deal with annoying imprints, you can also use it as a comb for the perfect make up finish.']",[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/614VCWEXagL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71K8NHzSDLL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61eWsazpLGL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71dGfmwxMCL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41QscPWKwqL.jpg',
       'https://m.media-amazon.com/images/I/51HtvnvxwNL.jpg',
       'https://m.media-amazon.com/images/I/41Sv78RaxcL.jpg',
       'https://m.media-amazon.com/images/I/51jOtEcHphL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41QscPWKwqL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51HtvnvxwNL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41Sv78RaxcL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51jOtEcHphL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",VAGA,[],"{""Brand"": ""VAGA"", ""Unit Count"": ""2.00 Count"", ""Package Information"": ""Tube"", ""Skin Type"": ""Sensitive"", ""Coverage"": ""Full""}",B00PFE08BW,,,,0,9,0
All Beauty,CCbeauty 6-Packs Double Ended Spoolie and Angled Eyebrow Brushes Set Makup Eyebrow Kit and Eyebrow Comb for Application of Brow Powders Waxes Gels and Blends (#3),4.1,60,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/71NnHLgBsoL._SL1280_.jpg',
       'https://m.media-amazon.com/images/I/61bwcPNwo2L._SL1280_.jpg',
       'https://m.media-amazon.com/images/I/61mBLJbyHwL._SL1280_.jpg',
       'https://m.media-amazon.com/images/I/61KKhwtsXeL._SL1280_.jpg',
       'https://m.media-amazon.com/images/I/71UZc-e5FpL._SL1280_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51FDyaR-Z8L.jpg',
       'https://m.media-amazon.com/images/I/41qjMoiwekL.jpg',
       'https://m.media-amazon.com/images/I/41R+xenbhJL.jpg',
       'https://m.media-amazon.com/images/I/31nHUtGH8tL.jpg',
       'https://m.media-amazon.com/images/I/51uMTXMmKML.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51FDyaR-Z8L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41qjMoiwekL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41R+xenbhJL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31nHUtGH8tL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51uMTXMmKML._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",CCbeauty,[],"{""Brand"": ""CCbeauty"", ""Recommended Uses For Product"": ""Face Makeup"", ""Skin Type"": ""All"", ""Item Form"": ""Wand"", ""Number of Pieces"": ""6"", ""Age Range (Description)"": ""Adult"", ""Ferrule Material"": ""Aluminum"", ""Skin Tone"": ""All"", ""Item Weight"": ""24 Grams"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""6.3 x 1.8 x 0.4 inches; 0.85 Ounces""}",B0732SJ256,,,,0,0,0
All Beauty,"Ciyee 2016 New 90 degrees bending rose gold Oval brush set 10pcs Powder Blusher Toothbrush Curve Cosmetic makeup brush set ,lipstick /foundation/eyeliner /blush/concealer / Linear Brush (Gold)",2.2,5,[],[],,"{'hi_res': array([None, None, None, None, None, None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51as+ApoPrL.jpg',
       'https://m.media-amazon.com/images/I/41W5AI2eoHL.jpg',
       'https://m.media-amazon.com/images/I/417mYnby7tL.jpg',
       'https://m.media-amazon.com/images/I/41Bm2tgR16L.jpg',
       'https://m.media-amazon.com/images/I/51KYQZw-4RL.jpg',
       'https://m.media-amazon.com/images/I/41WISfbUseL.jpg',
       'https://m.media-amazon.com/images/I/518GWPL4y7L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51as+ApoPrL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41W5AI2eoHL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/417mYnby7tL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41Bm2tgR16L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51KYQZw-4RL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41WISfbUseL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/518GWPL4y7L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Ciyee,[],"{""Brand"": ""Ciyee"", ""Item Form"": ""Oval Brush"", ""Number of Pieces"": ""10"", ""Age Range (Description)"": ""Adult"", ""Ferrule Material"": ""Aluminum"", ""Skin Tone"": ""All"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""13.9 x 7.8 x 1.7 inches; 9.6 Ounces"", ""Item model number"": ""BE-G"", ""UPC"": ""798220746265 798220746272""}",B01H0BT1HO,,,,0,0,0
