main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author,template_cluster,title_cluster,labeling_cluster_id
All Beauty,(3 Pack) RIMMEL LONDON Brow This Way Eyebrow Gel - Medium Brown,4.6,3,[],[],,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31XDtGMLAxL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31XDtGMLAxL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",,[],"{""Package Dimensions"": ""6.3 x 2.01 x 0.71 inches; 5.61 Ounces"", ""UPC"": ""764210662587""}",B01CC0HKIK,,,,0,0,0
All Beauty,(6 Pack) NYC HD Automatic Eyeliner - Deep Brown,4.1,11,[],[],,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31k3SNUjg7L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31k3SNUjg7L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Reve Beauty,[],{},B00UIV9PV6,,,,0,0,0
All Beauty,100 Glue Holder Rings Cup 100 Eyeliner Brushes Eyelash Mascara Wands and 100 Lipstick Brush Gloss Wands Applicator,4.5,74,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/71aecW3oH+L._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61vPBCMzmEL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/51QrmE5P12L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61lz5Iirx0L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/51wbIQ6GcNL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/71suvzYGJwL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61EUXZLc2bL._SL1200_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51UEW2Ph4JL.jpg',
       'https://m.media-amazon.com/images/I/41JaElwwNWL.jpg',
       'https://m.media-amazon.com/images/I/41WBab4-YJL.jpg',
       'https://m.media-amazon.com/images/I/515YZH+oIkL.jpg',
       'https://m.media-amazon.com/images/I/41AV5tmetZL.jpg',
       'https://m.media-amazon.com/images/I/51hgprZbZWL.jpg',
       'https://m.media-amazon.com/images/I/51NG6vx9idL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51UEW2Ph4JL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41JaElwwNWL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41WBab4-YJL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/515YZH+oIkL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41AV5tmetZL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51hgprZbZWL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51NG6vx9idL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Tbestmax,[],"{""Brand"": ""Tbestmax"", ""Recommended Uses For Product"": ""Lip, Eyelashes, For Eyelining"", ""Material"": ""Plastic"", ""Item Form"": ""Wand"", ""Number of Pieces"": ""100"", ""Age Range (Description)"": ""Adult"", ""Ferrule Material"": ""Aluminum"", ""Skin Tone"": ""All"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.35 x 6.06 x 1.57 inches; 9.98 Ounces"", ""UPC"": ""604270007129""}",B07CVTV6DY,,,,0,0,0
All Beauty,10Pcs Paint Eyebrow Pencil Set Enhancer Makeup Tools Drawing Eye Brow Pen Pencil Cosmetic Eye Permanent Make up Definer Eyebrow Shaping Stencil Template Razor Trimmer Microblading Pencils,3.6,51,[],[],,"{'hi_res': array([None, None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/417rhxp-p1L.jpg',
       'https://m.media-amazon.com/images/I/41oAk4-LD+L.jpg',
       'https://m.media-amazon.com/images/I/51b3HtQTjqL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/417rhxp-p1L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41oAk4-LD+L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51b3HtQTjqL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",AddFavor,[],"{""Brand"": ""AddFavor"", ""Item Form"": ""Pencil"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Specialty"": ""Sweatproof, Long Lasting"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""7.09 x 0.39 x 0.39 inches; 1.12 Ounces"", ""Item model number"": ""AFBE3836330037"", ""UPC"": ""710874213917""}",B01M7PS9G3,,,,0,0,0
All Beauty,"12pcs Zhalya Full Makeup Brushes Set with Large Size Foundation Brush, Blending Face Powder, Blusher, Concealer, Eyeliner, Eyeshadow Brush, Comes with PU Leather Bag for Storage.",5.0,2,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/61HisaWpy1L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61g2rrlDGkL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/71ZJwAqEQ5L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71ng+FO9j9L._SL1044_.jpg',
       'https://m.media-amazon.com/images/I/71QexfA7CNL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/51XurmyypCL._SL1000_.jpg',
       None,
       'https://m.media-amazon.com/images/I/81yersDvM5L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81uLdTZSX5L._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41ns8xWcvGL.jpg',
       'https://m.media-amazon.com/images/I/518tJakE9VL.jpg',
       'https://m.media-amazon.com/images/I/31p1kWCs8BL.jpg',
       'https://m.media-amazon.com/images/I/51CkQUs1wuL.jpg',
       'https://m.media-amazon.com/images/I/31BYUp-BiLL.jpg',
       'https://m.media-amazon.com/images/I/4116FcMOZ1L.jpg',
       'https://m.media-amazon.com/images/I/31apk+WXq9L.jpg',
       'https://m.media-amazon.com/images/I/51KqSCEN59L.jpg',
       'https://m.media-amazon.com/images/I/41xkZ5gcUGL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41ns8xWcvGL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/518tJakE9VL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31p1kWCs8BL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51CkQUs1wuL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31BYUp-BiLL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/4116FcMOZ1L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31apk+WXq9L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51KqSCEN59L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41xkZ5gcUGL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07',
       'PT08'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Zhalya,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.5 x 6.6 x 1 inches; 8.01 Ounces"", ""UPC"": ""657664992938""}",B07DMGD6TX,,,,0,0,0
All Beauty,"2 Colors Natural Freckle Pen, Faux Lifelike Freckle Makeup Pen Magic Freckle Color, Waterproof Long Lasting Soft Dot Spot Pen for Natural Effortless Makeup (soft brown+dark brown)",4.6,12,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/615mTQauwcS._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61Qhj6aIjdS._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/614+z0WsfFS._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/71KDxIK2b+S._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/71vHTNr-CkL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61fu8fVDKcL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61TxFXQNNWL._SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41N9DHrMPmS.jpg',
       'https://m.media-amazon.com/images/I/4181hJinVNS.jpg',
       'https://m.media-amazon.com/images/I/41oeLF7tz9S.jpg',
       'https://m.media-amazon.com/images/I/51FziyfikvS.jpg',
       'https://m.media-amazon.com/images/I/515kQE57xHL.jpg',
       'https://m.media-amazon.com/images/I/517Jig3i1LL.jpg',
       'https://m.media-amazon.com/images/I/51Otbo+HBTL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41N9DHrMPmS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/4181hJinVNS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41oeLF7tz9S._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51FziyfikvS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/515kQE57xHL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/517Jig3i1LL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51Otbo+HBTL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",BliBling,[],{},B092ZMB83W,,,,0,0,0
All Beauty,Buytra 20-Piece Makeup Brushes Makeup Brush Set Cosmetics Foundation Blending Blush Eyeliner Concealer Face Powder Brush,3.9,239,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/61cj3wMpTHL._SL1002_.jpg',
       'https://m.media-amazon.com/images/I/51Xfb-m7sEL._SL1002_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51Ty8phCFOL.jpg',
       'https://m.media-amazon.com/images/I/31guM87mtkL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51Ty8phCFOL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31guM87mtkL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Buytra,[],"{""Brand"": ""Buytra"", ""Recommended Uses For Product"": ""Face Makeup"", ""Material"": ""Nylon, Wood"", ""Skin Type"": ""All"", ""Item Form"": ""Wand"", ""Number of Pieces"": ""20"", ""Age Range (Description)"": ""Adult"", ""Handle Material"": ""Nylon,Wood"", ""Ferrule Material"": ""Aluminum"", ""Skin Tone"": ""Light"", ""Is Discontinued By Manufacturer"": ""No"", ""Item Weight"": ""4.94 Ounces"", ""UPC"": ""747710150730""}",B01DX9HUP2,,,,0,0,0
All Beauty,CHENGYIDA 5-PACK (12F needles) Disposable Permanent Eyebrows Makeup Manual Pen Blade,4.2,3,"['Features: 1) Factory direct selling with stock 2) Durable metal cover 3) Skin safe for eyebrow 4) Cross lock needles 5) Manual tattoo pen 6) Do not need the power to do tattoo beauty operation,suit for all kinds of blade. 7) Use with the paste pigment,it is the mainly tools in the eyebrow operation. 8)Easy to cope,but not easy to damage,professional lock-pin device.'
 'Size: 10cm length' 'Color: pink' 'Stlye: 12F needles' 'QTY: 5PCS']",[],17.8,"{'hi_res': array(['https://m.media-amazon.com/images/I/71MMx-lD0wL._SL1224_.jpg',
       'https://m.media-amazon.com/images/I/51xkjlmDsqL._SL1222_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51RjAbG9cIL.jpg',
       'https://m.media-amazon.com/images/I/31uu8Xgx52L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51RjAbG9cIL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31uu8Xgx52L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",CHENGYIDA,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Manufacturer"": ""Shenzhen Chengyida E-Commerce Co., Ltd,""}",B01JINKVNK,,,,0,0,0
All Beauty,"Flutesan Makeup Practice Board Silicone Makeup Practice Face Eye Bionic Skin Makeup Board with 12 Pcs Eyeshadow Brush (Fresh Style), Gold",3.8,5,[],"['Features: Get Skilled Gradually: Your makeup skill will be improved by constant practice. During the use of the makeup practice eye board, you will find some techniques gradually and begin to apply them on your own face, then after a period of time, you will be experienced enough. Help you see a better image: After practicing again and again with the makeup training eye board, you will make a more delicate and clean makeup, which will help you cover up some shortcomings and make the whole face look more beautiful. Specifications: Material: Makeup brushes: wooden Makeup practice board: silicone Color and size: as shown in the picture Package includes: 1 x Makeup practice board 12 x Makeup brushes Notes: Manual measurement, please allow slight errors on size. The color may exist a slight difference due to different screen displays.']",,"{'hi_res': array(['https://m.media-amazon.com/images/I/71vnCgi3etL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71+mqnvrl-L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71EvH4AW1sL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81oZ6OV3PTL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71zXJRoMvPL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71-EUIalI-L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81CHyQhWylL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41yHsWSSQRL.jpg',
       'https://m.media-amazon.com/images/I/51bmZw0wSuL.jpg',
       'https://m.media-amazon.com/images/I/51YEZRSpQlL.jpg',
       'https://m.media-amazon.com/images/I/51YosrsAEaL.jpg',
       'https://m.media-amazon.com/images/I/51p8KoF2kUL.jpg',
       'https://m.media-amazon.com/images/I/41oeGr+91uL.jpg',
       'https://m.media-amazon.com/images/I/517+jWoBN4L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41yHsWSSQRL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51bmZw0wSuL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51YEZRSpQlL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51YosrsAEaL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51p8KoF2kUL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41oeGr+91uL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/517+jWoBN4L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Flutesan,[],"{""Package Dimensions"": ""7.99 x 5.67 x 1.54 inches; 6.81 Ounces""}",B0B3XGJYN5,,,,0,0,0
All Beauty,"JSDOIN Makeup Brushes Makeup 14 PCs Makeup Brush Set Premium Synthetic Kabuki Foundation Face Powder Blush Eyeshadow Brushes, Rose Golden",3.0,6,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/61+w2mvgWEL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/611IeixsxKL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61OTPe0x9nL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61yXCdZs8cL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/71RzLkkemGL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/613EgIAbFbL._SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41ijWZA7y3L.jpg',
       'https://m.media-amazon.com/images/I/5125kiUJV6L.jpg',
       'https://m.media-amazon.com/images/I/5116F3Zk0UL.jpg',
       'https://m.media-amazon.com/images/I/51uCJsGQUsL.jpg',
       'https://m.media-amazon.com/images/I/51ANCW0PbFL.jpg',
       'https://m.media-amazon.com/images/I/51bA08tczlL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41ijWZA7y3L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/5125kiUJV6L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/5116F3Zk0UL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51uCJsGQUsL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51ANCW0PbFL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51bA08tczlL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",JSDOIN,[],"{""Package Dimensions"": ""7.3 x 5.5 x 4 inches; 6.38 Ounces""}",B07P8VFCV6,,,,0,0,0
