title_cluster,template_cluster,main_category,title,description,features,average_rating,rating_number,price,parent_asin
1,5,All Beauty,"(6 Pack) 8 Oz Plastic Jars with Lids, Clear Plastic Square Jars with Smooth Black Plastic Lids - 70mm - 240mL Volume by Grand Parfums - Empty 8 Oz Jars with Lids","['SQUARE PLASTIC JARS: Beautiful 8 Oz Square Clear Plastic Jars with Flat Sides, and Colorful Lids for Cosmetics, Scrubs, Bath Salt, Cosmetics, Creams, Lotions Kitchen Projects and Crafts. FABULOUS LID COLORS AND JAR COLORS: Choose Your Favorite Lid and Jar ColorPERFECT SIZE: (70/400 Closure Size) 240mL Volume, Unusual Shape, With a Wide Mouth for Easy Access Great Storage Jar BPA-Free Plastic']","['GREAT FOR STORING ANYTHING: Food, Cosmetics, Beads, Cosmetic Puffs Garage Essentials. Whatever you put in the Wide Mouth Jars, You will Find Our Containers accessible and Useful.'
 'SAFE TO STORE EVERYTHING: BPA-Free Plastics will Not Leach Dangerous Chemicals. Safe and Great for Children and Babies! PET plastic Can easily be used with Essential Oil Products'
 ""QUALITY, 8 Oz SQUARE PLASTIC CONTAINERS WITH LIDS, MADE IN THE USA: You won't be disappointed in our Quality Product, with Gorgeous Colored Caps/ Tops and Jar Colors. Choose Your Favorite!""
 'HOLDS A FULL 8 OZ in VOLUME: Perfect for your Craft Project, Sugar Scrub, Salt Scrub, Body Lotion, Cream, Whips, Homemade Ketchup, Home and kitchen uses like loose tea, coffee, herbs and spices!'
 'BEAUTIFUL PACKAGING TO SHOWCASE YOUR PRODUCTS: Large 240ml PET Plastic Empty Jars with Square Flat Sides 240 ml, 70/400 Closure, Easy to Dress up for a Store, Spa or Market, or Showcase at a Crafts Fair']",4.4,32,14.55,B0957TPWQJ
1,5,All Beauty,"10 Pcs Plastic DIY Empty Lip Balm Crafting Tubes Refills Container Lipstick Lip Gloss Storage Container Tube for Crayon Lipstick,Homemade Lip Balm(Pink Gradient)",[],[],4.6,3,,B07XYQCK5Z
1,5,All Beauty,"10 Pcs Silicone Travel Bottles Set, Travel Size Containers, Leak Proof Squeezable Tubes with Keychain and Retractable Badge Holders, Reusable Bottle for Toiletry, Shampoo, Liquid, Cosmetic (1.3 Oz)",[],[],4.4,11,,B08GQZYCWT
1,5,All Beauty,10 Pieces 100 ml Plastic Empty Bottles Empty Shampoo Pump Bottles Lotion Pump Bottles for Travel Outdoor Camping Business Trip (Blue),[],[],4.4,154,,B086N1D8FV
1,5,All Beauty,10 Pieces 30 ml Mini Assorted Travel Bottles Holder Kids Cute Cartoon Portable Plastic Leak Proof Bottles Keychain Carriers Without Liquid,[],[],4.5,20,,B08DRLFQDF
1,5,All Beauty,10 Pieces Travel Bottles 1 oz Kids Empty Silicone Containers Mini 30 ml Keychain Plastic Leak Proof Cartoon Hand Cleaner Holders (10 styles),[],[],4.1,10,,B08F2P1DXY
1,5,All Beauty,10-gram Clear Round Sample Jars with Black Cap (Bag of 50),[],[],5.0,1,19.99,B00PEAUM5E
1,5,All Beauty,100PCS Pressure Sensitive Lines Foam Tamper Resistant Seals for Cosmetic Bottle/Jar Cap Liners Tamper Seal Cap Liner Sealed (Diameter 3.5cm),[],"['Material:PS & Foam;Color:White;Size:2 sizes for your choosing 2.7cm or 3.5cm;Package:100PCS'
 '2.7cm suitable for 3g,5g packing bottle jars.3.5cm suitable for 15g,20g packing bottle jars'
 'Seal Foam Liners--They Will Adhere to Jar/Bottle Opening. Keeps Product Fresh and Sealed.'
 'It has a simple process, low price, convenient to use and good sealing performance'
 'Its tasteless features suitable for glass bottles, metal bottles, plastic bottles, food and cosmetics, bottles of solid food products for the dry domain']",4.1,199,7.97,B08JYCT3C7
1,5,All Beauty,10PCS Portable Travel Bottles 50 ml Leakproof Refillable Plastic Empty Bottles Hand Sanitizer Containers with Carabiner Keychain Bottles for Travel Outdoor Activities School,[],[],4.3,219,,B08DFJSZ9P
1,5,All Beauty,"10ml Empty Plastic Mascara Tube Eyelash Wands 3pcs, 10ml Empty Eyeliner Bottle 3pcs, 10ml Empty Lip Gloss Containers 3 pcs with 3pcs Plastic Funnel",[],[],3.0,2,,B07QWSLKYQ
1,9,All Beauty,12 Cologne Designer Samples Vial Set for Men with Velvet bag,[],[],4.3,1104,38.0,B015GJJXZC
