main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author,template_cluster,title_cluster,labeling_cluster_id
All Beauty,(3 Pack) RIMMEL LONDON Brow This Way Eyebrow Gel - Medium Brown,4.6,3,[],[],,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31XDtGMLAxL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31XDtGMLAxL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",,[],"{""Package Dimensions"": ""6.3 x 2.01 x 0.71 inches; 5.61 Ounces"", ""UPC"": ""764210662587""}",B01CC0HKIK,,,,0,0,0
All Beauty,(6 Pack) NYC HD Automatic Eyeliner - Deep Brown,4.1,11,[],[],,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31k3SNUjg7L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31k3SNUjg7L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Reve Beauty,[],{},B00UIV9PV6,,,,0,0,0
All Beauty,(6 Pack) NYC Waterproof Eyeliner Pencil - Black,4.0,7,[],[],,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31PMw0AtGlL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31PMw0AtGlL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",,[],"{""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Unit Count"": ""6.0 Count"", ""Age Range (Description)"": ""Adult"", ""Package Type"": ""Tube"", ""UPC"": ""764210640349""}",B00MSKZ2MQ,,,,0,0,0
All Beauty,1+1 Mascara Applicator Guide Tool Mascara Shield Eyeliner Guide Template Eye Makeup Tool,2.9,13,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/51ZnFfrhnYL._SL1001_.jpg',
       'https://m.media-amazon.com/images/I/61p5xgSf7BL._SL1001_.jpg',
       'https://m.media-amazon.com/images/I/51J3mWIN0KL._SL1001_.jpg',
       'https://m.media-amazon.com/images/I/513gyzcT-3L._SL1001_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31wRUqgIUdL.jpg',
       'https://m.media-amazon.com/images/I/518JpYWuqqL.jpg',
       'https://m.media-amazon.com/images/I/318Liq6epfL.jpg',
       'https://m.media-amazon.com/images/I/410Yw9NCRxL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31wRUqgIUdL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/518JpYWuqqL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/318Liq6epfL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/410Yw9NCRxL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",luzen,[],"{""Color"": ""Blue"", ""Brand"": ""luzen"", ""Unit Count"": ""1.00 Count"", ""Package Information"": ""Tube"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.6 x 4.9 x 0.3 inches; 0.81 Ounces""}",B01N9J7HQR,,,,0,0,0
All Beauty,100 Glue Holder Rings Cup 100 Eyeliner Brushes Eyelash Mascara Wands and 100 Lipstick Brush Gloss Wands Applicator,4.5,74,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/71aecW3oH+L._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61vPBCMzmEL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/51QrmE5P12L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61lz5Iirx0L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/51wbIQ6GcNL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/71suvzYGJwL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61EUXZLc2bL._SL1200_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51UEW2Ph4JL.jpg',
       'https://m.media-amazon.com/images/I/41JaElwwNWL.jpg',
       'https://m.media-amazon.com/images/I/41WBab4-YJL.jpg',
       'https://m.media-amazon.com/images/I/515YZH+oIkL.jpg',
       'https://m.media-amazon.com/images/I/41AV5tmetZL.jpg',
       'https://m.media-amazon.com/images/I/51hgprZbZWL.jpg',
       'https://m.media-amazon.com/images/I/51NG6vx9idL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51UEW2Ph4JL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41JaElwwNWL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41WBab4-YJL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/515YZH+oIkL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41AV5tmetZL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51hgprZbZWL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51NG6vx9idL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Tbestmax,[],"{""Brand"": ""Tbestmax"", ""Recommended Uses For Product"": ""Lip, Eyelashes, For Eyelining"", ""Material"": ""Plastic"", ""Item Form"": ""Wand"", ""Number of Pieces"": ""100"", ""Age Range (Description)"": ""Adult"", ""Ferrule Material"": ""Aluminum"", ""Skin Tone"": ""All"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.35 x 6.06 x 1.57 inches; 9.98 Ounces"", ""UPC"": ""604270007129""}",B07CVTV6DY,,,,0,0,0
All Beauty,10Pcs Paint Eyebrow Pencil Set Enhancer Makeup Tools Drawing Eye Brow Pen Pencil Cosmetic Eye Permanent Make up Definer Eyebrow Shaping Stencil Template Razor Trimmer Microblading Pencils,3.6,51,[],[],,"{'hi_res': array([None, None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/417rhxp-p1L.jpg',
       'https://m.media-amazon.com/images/I/41oAk4-LD+L.jpg',
       'https://m.media-amazon.com/images/I/51b3HtQTjqL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/417rhxp-p1L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41oAk4-LD+L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51b3HtQTjqL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",AddFavor,[],"{""Brand"": ""AddFavor"", ""Item Form"": ""Pencil"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Specialty"": ""Sweatproof, Long Lasting"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""7.09 x 0.39 x 0.39 inches; 1.12 Ounces"", ""Item model number"": ""AFBE3836330037"", ""UPC"": ""710874213917""}",B01M7PS9G3,,,,0,0,0
All Beauty,"12pcs Zhalya Full Makeup Brushes Set with Large Size Foundation Brush, Blending Face Powder, Blusher, Concealer, Eyeliner, Eyeshadow Brush, Comes with PU Leather Bag for Storage.",5.0,2,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/61HisaWpy1L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61g2rrlDGkL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/71ZJwAqEQ5L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71ng+FO9j9L._SL1044_.jpg',
       'https://m.media-amazon.com/images/I/71QexfA7CNL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/51XurmyypCL._SL1000_.jpg',
       None,
       'https://m.media-amazon.com/images/I/81yersDvM5L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81uLdTZSX5L._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41ns8xWcvGL.jpg',
       'https://m.media-amazon.com/images/I/518tJakE9VL.jpg',
       'https://m.media-amazon.com/images/I/31p1kWCs8BL.jpg',
       'https://m.media-amazon.com/images/I/51CkQUs1wuL.jpg',
       'https://m.media-amazon.com/images/I/31BYUp-BiLL.jpg',
       'https://m.media-amazon.com/images/I/4116FcMOZ1L.jpg',
       'https://m.media-amazon.com/images/I/31apk+WXq9L.jpg',
       'https://m.media-amazon.com/images/I/51KqSCEN59L.jpg',
       'https://m.media-amazon.com/images/I/41xkZ5gcUGL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41ns8xWcvGL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/518tJakE9VL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31p1kWCs8BL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51CkQUs1wuL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31BYUp-BiLL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/4116FcMOZ1L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31apk+WXq9L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51KqSCEN59L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41xkZ5gcUGL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07',
       'PT08'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Zhalya,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.5 x 6.6 x 1 inches; 8.01 Ounces"", ""UPC"": ""657664992938""}",B07DMGD6TX,,,,0,0,0
All Beauty,"2 Colors Natural Freckle Pen, Faux Lifelike Freckle Makeup Pen Magic Freckle Color, Waterproof Long Lasting Soft Dot Spot Pen for Natural Effortless Makeup (soft brown+dark brown)",4.6,12,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/615mTQauwcS._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61Qhj6aIjdS._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/614+z0WsfFS._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/71KDxIK2b+S._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/71vHTNr-CkL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61fu8fVDKcL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61TxFXQNNWL._SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41N9DHrMPmS.jpg',
       'https://m.media-amazon.com/images/I/4181hJinVNS.jpg',
       'https://m.media-amazon.com/images/I/41oeLF7tz9S.jpg',
       'https://m.media-amazon.com/images/I/51FziyfikvS.jpg',
       'https://m.media-amazon.com/images/I/515kQE57xHL.jpg',
       'https://m.media-amazon.com/images/I/517Jig3i1LL.jpg',
       'https://m.media-amazon.com/images/I/51Otbo+HBTL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41N9DHrMPmS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/4181hJinVNS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41oeLF7tz9S._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51FziyfikvS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/515kQE57xHL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/517Jig3i1LL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51Otbo+HBTL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",BliBling,[],{},B092ZMB83W,,,,0,0,0
All Beauty,"2 In 1 Lipstick Pen, Women Lip Liner Double End Head Lasting Lip Liner Stick Pencil Lipstick 8 Colors Available (H)",3.6,8,[],[],,"{'hi_res': array(['https://m.media-amazon.com/images/I/51OiXH869jL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/61EHLoT3-ZL._SL1200_.jpg',
       'https://m.media-amazon.com/images/I/41W0xAZlU1L._SL1024_.jpg',
       'https://m.media-amazon.com/images/I/618webCNUrL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/71zSe2Inw3L._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/71CtMpB9DhL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/614AN8jaiiL._SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31ZYlRw9qSL.jpg',
       'https://m.media-amazon.com/images/I/41aVlWKrthL.jpg',
       'https://m.media-amazon.com/images/I/211MrfqpElL.jpg',
       'https://m.media-amazon.com/images/I/51hggqI2mGL.jpg',
       'https://m.media-amazon.com/images/I/61Xnav3UCBL.jpg',
       'https://m.media-amazon.com/images/I/51yE5h1gOvL.jpg',
       'https://m.media-amazon.com/images/I/5106Re9IZoL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31ZYlRw9qSL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41aVlWKrthL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/211MrfqpElL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51hggqI2mGL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/61Xnav3UCBL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51yE5h1gOvL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/5106Re9IZoL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Aimik,[],"{""Brand"": ""Aimik"", ""Skin Type"": ""All"", ""Item Form"": ""Pencil"", ""Finish Type"": ""Glossy, Matte"", ""Product Benefits"": ""Softening,Long Lasting,Smoothening,Eye Health,Long-lasting,Makeup"", ""Package Dimensions"": ""6 x 0.6 x 0.6 inches; 0.81 Ounces""}",B084WQ931G,,,,0,0,0
All Beauty,2 Pack Palladio Beauty Retractable Eye Liner Pencil 02 Black Brown,4.5,31,[],[],,"{'hi_res': array([None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41AmFizT3EL.jpg',
       'https://m.media-amazon.com/images/I/41AmFizT3EL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41AmFizT3EL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41AmFizT3EL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Palladio,[],"{""Product Dimensions"": ""2.5 x 50 x 2.5 inches; 0.32 Ounces"", ""Item model number"": ""SG_B00P7CKW90_US"", ""UPC"": ""791916818963""}",B00P7CKW90,,,,0,0,0
